B - V,mag[0],mag[1],mag[2],mg
0.11,2.10,2.10,,2.10
0.34,2.40,2.30,2.40,2.40
1.56,,7.90,7.90,7.90
0.58,,4.10,4.10,4.10
0.62,2.80,,,2.80
1.17,2.30,2.10,2.20,2.30
0.57,3.50,3.40,3.60,3.50
-0.10,2.30,2.20,,2.30
0.70,5.30,5.20,5.20,5.30
1.58,2.20,2.20,2.20,2.20
0.17,4.40,4.40,,4.40
0.60,2.20,2.10,2.10,2.20
1.15,2.10,2.10,2.00,2.10
-0.09,2.30,2.30,,2.30
0.71,,4.40,4.40,4.40
0.48,1.90,1.90,1.90,1.90
0.52,5.70,,,5.70
0.82,4.50,4.50,4.50,4.50
1.54,1.00,1.10,1.00,1.00
0.80,0.10,0.10,0.20,0.10
0.00,0.30,-0.10,,0.30
-0.13,1.80,1.80,,1.80
1.85,0.90,0.0?,,0.90
0.03,2.00,1.90,,2.00
0.16,,0.40,,0.40
0.57,5.40,5.60,,5.40
0.01,-1.40,-1.90,-1.40,-1.40
1.60,5.30,5.40,5.30,5.30
0.03,1.90,1.50,,1.90
0.43,0.50,-0.50,0.50,0.50
0.99,1.20,1.40,1.10,1.20
0.62,8.20,,,8.20
0.20,3.30,3.20,,3.30
0.46,4.20,4.20,4.20,4.20
1.42,,7.40,7.70,7.40
0.48,3.20,3.10,3.20,3.20
1.13,,8.10,8.00,8.10
0.65,6.00,6.00,6.00,6.00
-0.09,1.30,1.20,1.40,1.30
1.37,,6.70,6.50,6.70
0.61,6.40,6.30,6.20,6.40
0.57,,7.40,,7.40
-0.02,2.40,2.20,,2.40
1.07,2.00,1.90,,2.00
1.50,,6.80,6.80,6.80
1.49,,8.50,8.30,8.50
1.04,,7.00,7.00,7.00
1.41,,9.00,9.00,9.00
0.57,,6.70,6.00,6.70
0.62,,8.00,,8.00
0.09,2.20,2.10,,2.20
0.75,6.40,6.50,6.50,6.40
0.00,2.40,2.30,,2.40
0.79,,7.30,7.50,7.30
-0.02,1.90,1.80,,1.90
0.57,4.40,,,4.40
-0.23,0.70,1.20,,0.70
1.23,0.20,0.30,,0.20
-0.01,0.20,0.70,-0.50,0.20
1.47,2.20,2.30,,2.20
0.79,7.70,,,7.70
1.93,1.20,,,1.20
0.92,3.70,3.60,3.70,3.70
1.44,3.10,3.00,,3.10
0.08,3.30,3.00,,3.30
1.44,3.40,3.60,3.40,3.40
0.25,4.80,4.80,4.90,4.80
0.28,4.70,4.80,4.80,4.70
1.51,,9.00,9.00,9.00
1.52,2.50,2.40,,2.50
0.86,,4.40,4.10,4.40
0.02,4.40,4.50,,4.40
0.00,0.20,-0.10,0.20,0.20
1.50,,8.20,8.20,8.20
0.76,5.50,,,5.50
0.79,,4.80,4.70,4.80
0.22,0.90,1.00,1.00,0.90
0.67,2.30,2.30,,2.30
1.02,,,2.70,2.70
1.07,5.40,5.00,,5.40
1.35,6.20,5.00,,6.20
0.22,2.60,2.60,2.60,2.60
0.53,,4.00,,4.00
1.50,2.40,2.40,,2.40
1.06,,5.20,5.20,5.20
-0.04,2.50,2.30,,2.50
-0.13,1.90,,,1.90
0.09,1.30,,,1.30
1.48,,7.50,7.50,7.50
1.00,5.50,5.50,5.50,5.50
0.69,,5.80,5.80,5.80
0.42,,11,11,11
